Date,^GSPC,^HSI,^N225
2015-04-10,2102.06005859375,27272.390625,19907.630859375
2015-04-13,2092.429931640625,28016.33984375,19905.4609375
2015-04-14,2095.840087890625,27561.490234375,19908.6796875
2015-04-15,2106.6298828125,27618.8203125,19869.759765625
2015-04-16,2104.989990234375,27739.7109375,19885.76953125
2015-04-17,2081.179931640625,27653.119140625,19652.880859375
2015-04-20,2100.39990234375,27094.9296875,19634.490234375
2015-04-21,2097.2900390625,27850.490234375,19909.08984375
2015-04-22,2107.9599609375,27933.849609375,20133.900390625
2015-04-23,2112.929931640625,27827.69921875,20187.650390625
2015-04-24,2117.68994140625,28060.98046875,20020.0390625
2015-04-27,2108.919921875,28433.58984375,19983.3203125
2015-04-28,2114.760009765625,28442.75,20058.94921875
2015-04-30,2085.510009765625,28133.0,19520.009765625
2015-05-07,2088.0,27289.970703125,19291.990234375
2015-05-08,2116.10009765625,27577.33984375,19379.189453125
2015-05-11,2105.330078125,27718.19921875,19620.91015625
2015-05-12,2099.1201171875,27407.1796875,19624.83984375
2015-05-13,2098.47998046875,27249.279296875,19764.720703125
2015-05-14,2121.10009765625,27286.55078125,19570.240234375
2015-05-15,2122.72998046875,27822.279296875,19732.919921875
2015-05-18,2129.199951171875,27591.25,19890.26953125
2015-05-19,2127.830078125,27693.5390625,20026.380859375
2015-05-20,2125.85009765625,27585.05078125,20196.560546875
2015-05-21,2130.820068359375,27523.720703125,20202.869140625
2015-05-22,2126.06005859375,27992.830078125,20264.41015625
2015-05-26,2104.199951171875,28249.859375,20437.48046875
2015-05-27,2123.47998046875,28081.2109375,20472.580078125
2015-05-28,2120.7900390625,27454.310546875,20551.4609375
2015-05-29,2107.389892578125,27424.189453125,20563.150390625
2015-06-01,2111.72998046875,27597.16015625,20569.869140625
2015-06-02,2109.60009765625,27466.720703125,20543.189453125
2015-06-03,2114.070068359375,27657.470703125,20473.509765625
2015-06-04,2095.840087890625,27551.890625,20488.189453125
2015-06-05,2092.830078125,27260.16015625,20460.900390625
2015-06-08,2079.280029296875,27316.279296875,20457.189453125
2015-06-09,2080.14990234375,26989.51953125,20096.30078125
2015-06-10,2105.199951171875,26687.640625,20046.359375
2015-06-11,2108.860107421875,26907.849609375,20382.970703125
2015-06-12,2094.110107421875,27280.5390625,20407.080078125
2015-06-15,2084.429931640625,26861.810546875,20387.7890625
2015-06-16,2096.2900390625,26566.69921875,20257.939453125
2015-06-17,2100.43994140625,26753.7890625,20219.26953125
2015-06-18,2121.239990234375,26694.66015625,19990.8203125
2015-06-19,2109.989990234375,26760.529296875,20174.240234375
2015-06-22,2122.85009765625,27080.849609375,20428.189453125
2015-06-23,2124.199951171875,27333.4609375,20809.419921875
2015-06-24,2108.580078125,27404.970703125,20868.029296875
2015-06-25,2102.31005859375,27145.75,20771.400390625
2015-06-26,2101.489990234375,26663.869140625,20706.150390625
2015-06-29,2057.639892578125,25966.98046875,20109.94921875
2015-06-30,2063.110107421875,26250.029296875,20235.73046875
2015-07-02,2076.780029296875,26282.3203125,20522.5
2015-07-06,2068.760009765625,25236.279296875,20112.119140625
2015-07-07,2081.340087890625,24975.310546875,20376.58984375
2015-07-08,2046.6800537109375,23516.560546875,19737.640625
2015-07-09,2051.31005859375,24392.7890625,19855.5
2015-07-10,2076.6201171875,24901.279296875,19779.830078125
2015-07-13,2099.60009765625,25224.009765625,20089.76953125
2015-07-14,2108.949951171875,25120.91015625,20385.330078125
2015-07-15,2107.39990234375,25055.759765625,20463.330078125
2015-07-16,2124.2900390625,25162.779296875,20600.119140625
2015-07-17,2126.639892578125,25415.26953125,20650.919921875
2015-07-21,2119.2099609375,25536.4296875,20841.970703125
2015-07-22,2114.14990234375,25282.619140625,20593.669921875
2015-07-23,2102.14990234375,25398.849609375,20683.94921875
2015-07-24,2079.64990234375,25128.509765625,20544.529296875
2015-07-27,2067.639892578125,24351.9609375,20350.099609375
2015-07-28,2093.25,24503.939453125,20328.890625
